Date,Stock,Action,Shares,Price,Value,Cost
2013-06-04,AAPL,BUY,127,8.373831748962402,1063.476632118225,1.0634766321182252
2013-06-05,AAPL,SELL,835,8.230627059936523,6872.573595046997,6.8725735950469975
2013-06-06,AAPL,BUY,440,8.373831748962402,3684.485969543457,3.684485969543457
2013-06-07,AAPL,BUY,77191,8.530668258666992,658490.8135547638,658.4908135547638
2013-06-10,AAPL,BUY,432,8.360189437866211,3611.601837158203,3.611601837158203
2013-06-11,AAPL,SELL,76226,8.394287109375,639862.9291992188,639.8629291992188
2013-06-12,AAPL,BUY,75989,8.305639266967773,631137.2222576141,631.1372222576141
2013-06-13,AAPL,SELL,76085,8.44883918762207,642829.9295902252,642.8299295902252
2013-06-14,AAPL,BUY,76083,8.42837905883789,641256.3639335632,641.2563639335632
2013-06-17,AAPL,SELL,76922,8.353374481201172,642558.2718429565,642.5582718429565
2013-06-18,AAPL,BUY,99,8.298818588256836,821.5830402374268,0.8215830402374268
2013-06-19,AAPL,SELL,1868,7.96468448638916,14878.030620574951,14.878030620574952
2013-06-20,AAPL,SELL,1732,7.79420804977417,13499.568342208862,13.499568342208862
2013-06-21,AAPL,SELL,21,7.828304767608643,164.3944001197815,0.1643944001197815
2013-06-24,AAPL,SELL,500,7.7805681228637695,3890.2840614318848,3.8902840614318848
2013-06-25,AAPL,BUY,84252,7.95786714553833,670466.2227458954,670.4662227458954
2013-06-26,AAPL,SELL,1025,8.121521949768066,8324.559998512268,8.324559998512267
2013-06-27,AAPL,BUY,209,8.155619621276855,1704.5245008468628,1.7045245008468628
2013-06-28,AAPL,SELL,81345,8.17607593536377,665082.8969621658,665.0828969621658
2013-07-01,AAPL,SELL,79,8.114704132080078,641.0616264343262,0.6410616264343262
2013-07-02,AAPL,SELL,671,8.05333423614502,5403.787272453308,5.403787272453308
2013-07-03,AAPL,SELL,277,8.066971778869629,2234.551182746887,2.234551182746887
2013-07-05,AAPL,BUY,82912,8.08742618560791,670544.679901123,670.544679901123
2013-07-08,AAPL,SELL,82330,8.128341674804688,669206.3700866699,669.20637008667
2013-07-09,AAPL,BUY,81683,8.203350067138672,670074.2435340881,670.0742435340882
2013-07-10,AAPL,SELL,919,8.360189437866211,7683.014093399048,7.683014093399048
2013-07-11,AAPL,SELL,213,8.544307708740234,1819.93754196167,1.81993754196167
2013-07-12,AAPL,SELL,78,8.592041015625,670.17919921875,0.67017919921875
2013-07-15,AAPL,SELL,673,8.776154518127441,5906.351990699768,5.906351990699768
2013-07-16,AAPL,BUY,674,8.707963943481445,5869.167697906494,5.869167697906494
2013-07-17,AAPL,SELL,78923,8.687507629394531,685644.1646347046,685.6441646347046
2013-07-18,AAPL,BUY,255,8.694324493408203,2217.052745819092,2.217052745819092
2013-07-19,AAPL,BUY,230,8.74887752532959,2012.2418308258057,2.012241830825806
2013-07-22,AAPL,BUY,78400,8.64659309387207,677892.8985595703,677.8928985595703
2013-07-23,AAPL,SELL,78650,8.701147079467773,684345.2178001404,684.3452178001404
2013-07-24,AAPL,BUY,79804,8.469292640686035,675883.4298973083,675.8834298973084
