Date,Portfolio_Value
2010-12-31,972105.7252088783
2011-01-03,979290.0471568527
2011-01-04,986479.4331248195
2011-01-05,986078.764694528
2011-01-06,995091.6216170748
2011-01-07,1004739.9164398167
2011-01-10,1001254.3444007876
2011-01-11,1006276.4374489917
2011-01-12,1013581.2869832236
2011-01-13,1002848.8535880625
2011-01-14,1002612.6839846962
2011-01-18,996573.7203297131
2011-01-19,995033.195237983
2011-01-20,987888.8734934987
2011-01-21,974363.6344950036
2011-01-24,984833.1298118415
2011-01-25,986130.2175133344
2011-01-26,991479.2010132488
2011-01-27,997642.4163149871
2011-01-28,995677.56145635
2011-01-31,1008550.1168908854
2011-02-01,1002276.9837577688
2011-02-02,999308.2477888453
2011-02-03,995924.5342060195
2011-02-04,997710.3535384755
2011-02-07,1002456.1653743463
2011-02-08,997633.6290075717
2011-02-09,991454.3756291158
2011-02-10,993674.7524640891
2011-02-11,989616.3534596688
2011-02-14,986636.633993025
2011-02-15,989607.215947102
2011-02-16,987239.0168121564
2011-02-17,991180.9923106683
2011-02-18,975823.0788372675
2011-02-22,967626.7142065149
2011-02-23,954378.3274838149
2011-02-24,949887.2974234957
2011-02-25,952180.3948001561
2011-02-28,947079.3058174446
2011-03-01,944938.3515563232
2011-03-02,957173.5913205706
2011-03-03,965369.9866345916
2011-03-04,971708.6352270396
2011-03-07,972084.8959239254
2011-03-08,966516.5347688006
2011-03-09,978208.0619054075
2011-03-10,963356.8234706359
2011-03-11,961166.8086127354
2011-03-14,963504.3754532777
2011-03-15,985162.6489820401
2011-03-16,981081.867698679
2011-03-17,1003127.9437127688
2011-03-18,1007044.2688762799
2011-03-21,1038704.9641324156
2011-03-22,1038477.5610406273
2011-03-23,1043598.8384763098
2011-03-24,1042132.5412457645
2011-03-25,1038366.8701416132
2011-03-28,1033980.6815365367
2011-03-29,1030727.4004271694
2011-03-30,1033856.0033949354
2011-03-31,1024019.7596381303
2011-04-01,1025985.0863595575
2011-04-04,1024962.3071151344
2011-04-05,1025887.2426259711
2011-04-06,1023687.4950134087
2011-04-07,1012496.6588836041
2011-04-08,1014526.8213241901
2011-04-11,1012992.79101827
2011-04-12,999072.3241610986
2011-04-13,1003780.5189285928
2011-04-14,1004554.9400250287
2011-04-15,998825.9100927864
2011-04-18,993390.3711707606
2011-04-19,989496.0648091582
2011-04-20,968672.3669581278
2011-04-21,967182.6622245633
2011-04-25,962462.4173479108
2011-04-26,961728.2721905438
2011-04-27,956661.971174199
2011-04-28,955521.8730311227
2011-04-29,945022.4507781065
2011-05-02,950052.6628274152
2011-05-03,947202.9286852882
2011-05-04,949120.9833970346
2011-05-05,950979.3952517222
2011-05-06,942691.2539032544
2011-05-09,947845.0360887103
2011-05-10,938032.4626360293
2011-05-11,944303.3846936859
2011-05-12,935490.2512896573
2011-05-13,940989.00119781
2011-05-16,948039.1969642483
2011-05-17,947283.1890574226
2011-05-18,948988.5694379603
2011-05-19,954213.6216882601
2011-05-20,951677.0797533577
2011-05-23,943983.7939595722
2011-05-24,933793.88074856
2011-05-25,930958.8985675339
2011-05-26,916774.4108044083
2011-05-27,920222.1384986524
2011-05-31,915696.2287723031
2011-06-01,910826.7717794825
2011-06-02,902321.8361099788
2011-06-03,902536.3892876031
2011-06-06,900384.4715221641
2011-06-07,905298.9041989958
2011-06-08,904029.0565923909
2011-06-09,903293.3253779558
2011-06-10,895098.7760909913
2011-06-13,895099.2097023944
2011-06-14,890229.1807743886
2011-06-15,894765.5344440187
2011-06-16,884384.7698927582
2011-06-17,879652.3202073781
2011-06-20,877347.5016413719
2011-06-21,876118.2372754356
2011-06-22,868124.3745788608
2011-06-23,858986.7383349815
2011-06-24,858831.3417460656
2011-06-27,863970.7599396214
2011-06-28,862400.0220737278
2011-06-29,854622.5554095367
2011-06-30,852319.5634189772
2011-07-01,854013.8549306099
2011-07-05,864671.9193313365
2011-07-06,858090.4189710561
2011-07-07,857626.3520813726
2011-07-08,850863.5501103837
2011-07-11,847284.4016159985
2011-07-12,840057.2737104134
2011-07-13,836892.161814105
2011-07-14,837547.8598402261
2011-07-15,842006.7961119504
2011-07-18,841532.4479045301
2011-07-19,844170.4116405597
2011-07-20,836990.4265387404
2011-07-21,838468.5622092453
2011-07-22,843106.1293654176
2011-07-25,835843.6999367742
2011-07-26,843989.3861192521
2011-07-27,843759.0168396804
2011-07-28,843251.9431723305
2011-07-29,854600.4303174294
2011-08-01,853166.247439941
2011-08-02,865004.809348555
2011-08-03,876927.8595844636
2011-08-04,886659.5680857678
2011-08-05,902564.3452810798
2011-08-08,925831.6284568878
2011-08-09,956463.6024064745
2011-08-10,956480.6783491517
2011-08-11,957500.0556037615
2011-08-12,995788.5363439047
2011-08-15,1000954.8328154152
2011-08-16,1016288.1949193983
2011-08-17,1018661.031501864
2011-08-18,1001386.4235500095
2011-08-19,987663.1224662242
2011-08-22,968810.6990621298
2011-08-23,978547.5602796036
2011-08-24,970836.0265663217
2011-08-25,958133.71098365
2011-08-26,933895.8504782728
2011-08-29,932367.5422820705
2011-08-30,915709.6707956416
2011-08-31,913147.755104881
2011-09-01,916513.8038314797
2011-09-02,915392.3903811579
2011-09-06,925275.0053476343
2011-09-07,891208.4142745126
2011-09-08,885424.0012408851
2011-09-09,869747.5669207049
2011-09-12,872776.6382122643
2011-09-13,858045.1040491138
2011-09-14,861758.3121447358
2011-09-15,862613.8635998899
2011-09-16,857177.3764496469
2011-09-19,853369.7318138079
2011-09-20,856862.7118449567
2011-09-21,846284.9413643074
2011-09-22,847371.1973382701
2011-09-23,855176.9573836209
2011-09-26,845659.4030762471
2011-09-27,832562.9220751696
2011-09-28,837612.6975096713
2011-09-29,838120.0220889912
2011-09-30,840879.1183921796
2011-10-03,851317.828317357
2011-10-04,846910.5339866662
2011-10-05,838799.1711329375
2011-10-06,821925.4950074139
2011-10-07,844118.5371842759
2011-10-10,846525.7021726859
2011-10-11,853137.8681709517
2011-10-12,856845.2822334901
2011-10-13,868836.39569221
2011-10-14,873438.879540575
2011-10-17,872136.8323783884
2011-10-18,881258.1600239696
2011-10-19,862113.0157214955
2011-10-20,857543.9646404429
2011-10-21,864289.8489194027
2011-10-24,871766.211920487
2011-10-25,867793.6810221878
2011-10-26,867014.4372401265
2011-10-27,846271.9885169906
2011-10-28,837905.7884347814
2011-10-31,825790.5260439054
2011-11-01,800615.7181548434
2011-11-02,798378.3242897348
2011-11-03,795234.7641766213
2011-11-04,814978.3791245071
2011-11-07,810864.0011681946
2011-11-08,814277.9919536975
2011-11-09,809301.0917307939
2011-11-10,803626.4226356905
2011-11-11,789102.1243892862
2011-11-14,792023.5229837025
2011-11-15,787533.6387736903
2011-11-16,787618.1536675307
2011-11-17,788269.9658731987
2011-11-18,777314.1196081084
2011-11-21,777459.0940859369
2011-11-22,778637.2996623176
2011-11-23,774899.9316864995
2011-11-25,777677.5991033162
2011-11-28,765758.4996101895
2011-11-29,772670.9677044421
2011-11-30,783938.0456449122
2011-12-01,784310.7597506705
2011-12-02,790469.2730685123
2011-12-05,788330.5654599796
2011-12-06,785228.9434026189
2011-12-07,788808.846996875
2011-12-08,790455.5831156123
2011-12-09,806859.5189110714
2011-12-12,819398.4562768262
2011-12-13,822076.2862490106
2011-12-14,815418.1032891481
2011-12-15,804708.992446183
2011-12-16,805815.7719427558
2011-12-19,807876.0312629506
2011-12-20,805042.7241965682
2011-12-21,804330.3013108628
2011-12-22,809401.3616398575
2011-12-23,812416.2128036276
2011-12-27,807835.4973676263
2011-12-28,812613.648867175
2011-12-29,808263.8459162598
2011-12-30,810895.1310759536
2012-01-03,816933.4079507149
2012-01-04,817649.6240999065
2012-01-05,816632.4046887727
2012-01-06,825491.4062001734
2012-01-09,823826.8958247509
2012-01-10,826799.5111228444
2012-01-11,822012.3540066935
2012-01-12,822983.516316976
2012-01-13,819593.2679453463
2012-01-17,809799.2164034587
2012-01-18,803841.9832193624
2012-01-19,804155.7018488108
2012-01-20,805861.5665113102
2012-01-23,800078.2673406758
2012-01-24,794828.4136938355
2012-01-25,790954.1975992983
2012-01-26,777256.7177279505
2012-01-27,781611.3929904136
2012-01-30,781183.5924578316
2012-01-31,776592.0252005392
2012-02-01,781310.6029515197
2012-02-02,783875.6767388394
2012-02-03,785802.1115974335
2012-02-06,777650.3728254163
2012-02-07,776265.9250060588
2012-02-08,771089.9149865119
2012-02-09,770294.1500962958
2012-02-10,766729.2722428059
2012-02-13,772085.804713273
2012-02-14,775338.3161629252
2012-02-15,785025.8294316884
2012-02-16,784175.5317884155
2012-02-17,794078.5010110573
2012-02-21,791231.3009032228
2012-02-22,793543.2448312915
2012-02-23,794404.655216979
2012-02-24,792390.310092117
2012-02-27,794186.7277236604
2012-02-28,796278.2541058583
2012-02-29,784425.2665805884
2012-03-01,786123.3768815307
2012-03-02,782733.4938876729
2012-03-05,779830.8804555127
2012-03-06,774879.1575051107
2012-03-07,768029.3212583363
2012-03-08,761798.9437342416
2012-03-09,762450.6129213634
2012-03-12,761294.652489653
2012-03-13,758818.256750067
2012-03-14,758921.4094135804
2012-03-15,748167.1543885614
2012-03-16,744954.0774737112
2012-03-19,743922.5656266268
2012-03-20,744600.5096763977
2012-03-21,741480.7129880793
2012-03-22,738756.4280242869
2012-03-23,732613.5945837847
2012-03-26,729777.3483619335
2012-03-27,726389.1847452847
2012-03-28,723999.6749756959
2012-03-29,723581.55496831
2012-03-30,717188.3681448151
2012-04-02,716213.3797204904
2012-04-03,715771.0487624849
2012-04-04,704974.1225089022
2012-04-05,706336.1938735605
2012-04-09,695230.0302018729
2012-04-10,700796.4987429567
2012-04-11,711310.6878136093
2012-04-12,706965.6506084178
2012-04-13,703498.1782597017
2012-04-16,710658.2604124174
2012-04-17,705104.0472431066
2012-04-18,711959.296148868
2012-04-19,713372.0204048448
2012-04-20,716255.0331855586
2012-04-23,717401.1682983779
2012-04-24,720813.3701540127
2012-04-25,717719.0398960102
2012-04-26,717006.9593199135
2012-04-27,725198.4177169461
2012-04-30,724617.8315796722
2012-05-01,725496.6206904086
2012-05-02,725505.6231065607
2012-05-03,720596.0322851418
2012-05-04,702175.0492581379
2012-05-07,723084.9327804002
2012-05-08,724334.6627370128
2012-05-09,717893.2947113954
2012-05-10,716327.2349555201
2012-05-11,709966.07664015
2012-05-14,707959.9001573115
2012-05-15,706228.7000589881
2012-05-16,703204.9749610929
2012-05-17,706390.7015806036
2012-05-18,708659.1362538296
2012-05-21,710712.3957526847
2012-05-22,703595.0096217901
2012-05-23,694253.4351814917
2012-05-24,692555.8333605974
2012-05-25,696676.8985581177
2012-05-29,690383.5432102702
2012-05-30,688759.131175663
2012-05-31,682980.3853158795
2012-06-01,682921.6186380241
2012-06-04,684044.4406313086
2012-06-05,685777.319497538
2012-06-06,676831.1049924474
2012-06-07,669401.4526116245
2012-06-08,662337.1831539271
2012-06-11,664991.7501731174
2012-06-12,673834.1635117836
2012-06-13,676707.2305317495
2012-06-14,672329.4910293962
2012-06-15,665607.3235476161
2012-06-18,664549.6500530548
2012-06-19,665077.7026261715
2012-06-20,667309.0016344094
2012-06-21,671616.0538379175
2012-06-22,661808.0788903187
2012-06-25,668952.8385730333
2012-06-26,665094.1166637408
2012-06-27,660101.8484401018
2012-06-28,651304.5530386129
2012-06-29,663341.9518579856
2012-07-02,666185.0095174888
2012-07-03,660493.5326385191
2012-07-05,663731.4757924483
2012-07-06,657643.8766520817
2012-07-09,661261.7011354853
2012-07-10,659511.6516268994
2012-07-11,655459.5075728418
2012-07-12,655936.2924988297
2012-07-13,656572.9213179306
2012-07-16,659551.1842841634
2012-07-17,661750.9477941771
2012-07-18,661612.4317635342
2012-07-19,659773.5651971492
2012-07-20,659187.0910272328
2012-07-23,653629.7834322152
2012-07-24,647145.3226194744
2012-07-25,637287.147841737
2012-07-26,642313.4009001361
2012-07-27,641237.6127851594
2012-07-30,640971.3990987347
2012-07-31,639088.3137714696
2012-08-01,640833.2750356726
2012-08-02,639151.6097912132
2012-08-03,630643.8436610993
2012-08-06,622791.4627476804
2012-08-07,616026.6902781795
2012-08-08,620013.9281828767
2012-08-09,615464.202443039
2012-08-10,612211.7414078013
2012-08-13,612480.2408965749
2012-08-14,617147.3435000537
2012-08-15,612246.0632055623
2012-08-16,608737.290833109
2012-08-17,606631.8930216122
2012-08-20,609385.0529822772
2012-08-21,608778.2598805294
2012-08-22,608427.5275179849
2012-08-23,610526.0780967593
2012-08-24,603479.2684061946
2012-08-27,606355.9172526596
2012-08-28,603127.6955408304
2012-08-29,601557.5274319013
2012-08-30,603845.4825606304
2012-08-31,606921.3023505756
2012-09-04,605789.8318843273
2012-09-05,607652.7002569991
2012-09-06,605768.0191037938
2012-09-07,605422.8141980958
2012-09-10,604285.2243101327
2012-09-11,603217.5135767325
2012-09-12,600769.8968817495
2012-09-13,596328.8397473469
2012-09-14,601051.8570622063
2012-09-17,597338.307911579
2012-09-18,594221.1576429999
2012-09-19,587077.9603706521
2012-09-20,589456.5641280962
2012-09-21,586031.4216488559
2012-09-24,588340.7251756917
2012-09-25,590387.1634991642
2012-09-26,595304.1550745198
2012-09-27,587987.6564722601
2012-09-28,591250.3392340343
2012-10-01,588279.7299108307
2012-10-02,592823.1923906452
2012-10-03,592502.4148696857
2012-10-04,593539.0854702687
2012-10-05,593490.3386540925
2012-10-08,595053.4252885806
2012-10-09,592559.4645361917
2012-10-10,592833.550124771
2012-10-11,596383.692626814
2012-10-12,594990.2955097369
2012-10-15,597739.5280389765
2012-10-16,599673.4049637686
2012-10-17,593243.6092061937
2012-10-18,598160.9363318081
2012-10-19,598154.5975262874
2012-10-22,600013.3348138515
2012-10-23,605226.328184067
2012-10-24,604106.8889475388
2012-10-25,609423.530353636
2012-10-26,612884.6050387886
2012-10-31,609368.3633084961
2012-11-01,609959.7233671398
2012-11-02,607631.5780417798
2012-11-05,603275.054937123
2012-11-06,596143.8059153692
2012-11-07,596749.4900611881
2012-11-08,610112.9615234099
2012-11-09,611881.7108983705
2012-11-12,612063.1440540028
2012-11-13,620054.4818300975
2012-11-14,623423.0883581496
2012-11-15,622467.3014902638
2012-11-16,624717.8514593118
2012-11-19,633306.2604299563
2012-11-20,631088.324013619
2012-11-21,629822.5152904299
2012-11-23,632969.6752768393
2012-11-26,630763.6299851808
2012-11-27,633583.7232476817
2012-11-28,633875.4359234059
2012-11-29,639802.9802730279
2012-11-30,639775.1170305193
2012-12-03,644104.6961724283
2012-12-04,648552.571259653
2012-12-05,653686.3420200539
2012-12-06,648492.191218294
2012-12-07,647587.2059832576
2012-12-10,648431.1652086566
2012-12-11,651369.4111483125
2012-12-12,650113.2043861554
2012-12-13,650413.4425972342
2012-12-14,648574.1932798121
2012-12-17,648853.7000565379
2012-12-18,652480.8724104298
2012-12-19,658423.7856031312
2012-12-20,654906.3698871518
2012-12-21,658434.0925589737
2012-12-24,658365.6152789274
2012-12-26,654684.3899204467
2012-12-27,657119.3719895538
2012-12-28,662623.9489766428
2012-12-31,664476.3917249232
2013-01-02,652266.9833882176
2013-01-03,646701.4330377666
2013-01-04,647881.6493527193
